Year,Sex,Age,Population,Age-Group
1973,Males,63,49046,60-64
1974,Males,63,52624,60-64
1975,Males,63,53730,60-64
1976,Males,63,54234,60-64
1977,Males,63,56981,60-64
1978,Males,63,55849,60-64
1979,Males,63,55507,60-64
1980,Males,63,55304,60-64
1981,Males,63,52927,60-64
1982,Males,63,53368,60-64
1983,Males,63,59741,60-64
1984,Males,63,66569,60-64
1985,Males,63,67843,60-64
1986,Males,63,67829,60-64
1987,Males,63,69317,60-64
1988,Males,63,68826,60-64
1989,Males,63,73376,60-64
1990,Males,63,72342,60-64
1991,Males,63,72838,60-64
1992,Males,63,72594,60-64
1993,Males,63,71718,60-64
1994,Males,63,72796,60-64
1995,Males,63,69264,60-64
1996,Males,63,68754,60-64
1997,Males,63,69509,60-64
1998,Males,63,69174,60-64
1999,Males,63,73909,60-64
2000,Males,63,77226,60-64
2001,Males,63,78839,60-64
2002,Males,63,81699,60-64
2003,Males,63,83445,60-64
2004,Males,63,85140,60-64
2005,Males,63,89660,60-64
2006,Males,63,89750,60-64
2007,Males,63,98820,60-64
2008,Males,63,102974,60-64
2009,Males,63,107508,60-64
2010,Males,63,125896,60-64
2011,Males,63,120640,60-64
2012,Males,63,118530,60-64
2013,Males,63,120887,60-64
2014,Males,63,122692,60-64
2015,Males,63,122979,60-64
2016,Males,63,124974,60-64
2017,Males,63,124941,60-64
2018,Males,63,127856,60-64
2019,Males,63,133004,60-64
2020,Males,63,135645,60-64
2021,Males,63,137958,60-64
1971,Males,64,44879,60-64
1972,Males,64,46121,60-64
1973,Males,64,47400,60-64
1974,Males,64,47980,60-64
1975,Males,64,51220,60-64
1976,Males,64,52559,60-64
1977,Males,64,52888,60-64
1978,Males,64,55642,60-64
1979,Males,64,54906,60-64
1980,Males,64,54531,60-64
1981,Males,64,54041,60-64
1982,Males,64,51957,60-64
1983,Males,64,52261,60-64
1984,Males,64,58885,60-64
1985,Males,64,65501,60-64
1986,Males,64,67028,60-64
1987,Males,64,66436,60-64
1988,Males,64,68340,60-64
1989,Males,64,68001,60-64
1990,Males,64,72187,60-64
1991,Males,64,71292,60-64
1992,Males,64,71540,60-64
1993,Males,64,71353,60-64
1994,Males,64,70588,60-64
1995,Males,64,71992,60-64
1996,Males,64,68704,60-64
1997,Males,64,67915,60-64
1998,Males,64,68713,60-64
1999,Males,64,68477,60-64
2000,Males,64,73729,60-64
2001,Males,64,76816,60-64
2002,Males,64,77804,60-64
2003,Males,64,80571,60-64
2004,Males,64,82428,60-64
2005,Males,64,84091,60-64
2006,Males,64,88717,60-64
2007,Males,64,89314,60-64
2008,Males,64,98261,60-64
2009,Males,64,102422,60-64
2010,Males,64,106831,60-64
2011,Males,64,125036,60-64
2012,Males,64,119932,60-64
2013,Males,64,117883,60-64
2014,Males,64,120115,60-64
2015,Males,64,122015,60-64
2016,Males,64,122160,60-64
2017,Males,64,124292,60-64
2018,Males,64,124138,60-64
2019,Males,64,127321,60-64
2020,Males,64,133118,60-64
2021,Males,64,134121,60-64
1971,Males,65,44187,60-64
1972,Males,65,43732,60-64
1973,Males,65,44948,60-64
1974,Males,65,45944,60-64
1975,Males,65,46793,60-64
1976,Males,65,49732,60-64
1977,Males,65,51023,60-64
1978,Males,65,51532,60-64
1979,Males,65,54272,60-64
1980,Males,65,54014,60-64
1981,Males,65,53450,60-64
1982,Males,65,52905,60-64
1983,Males,65,50936,60-64
1984,Males,65,51167,60-64
1985,Males,65,57953,60-64
1986,Males,65,64560,60-64
1987,Males,65,65567,60-64
1988,Males,65,65038,60-64
1989,Males,65,67280,60-64
1990,Males,65,66937,60-64
1991,Males,65,70962,60-64
1992,Males,65,69849,60-64
1993,Males,65,70135,60-64
1994,Males,65,70109,60-64
1995,Males,65,69398,60-64
1996,Males,65,71312,60-64
1997,Males,65,67909,60-64
1998,Males,65,66907,60-64
1999,Males,65,67817,60-64
2000,Males,65,67722,60-64
2001,Males,65,73556,60-64
2002,Males,65,75674,60-64
2003,Males,65,76630,60-64
2004,Males,65,79243,60-64
2005,Males,65,81352,60-64
2006,Males,65,82859,60-64
2007,Males,65,88107,60-64
2008,Males,65,88660,60-64
2009,Males,65,97513,60-64
2010,Males,65,101678,60-64
2011,Males,65,105917,60-64
2012,Males,65,123979,60-64
2013,Males,65,119124,60-64
2014,Males,65,116996,60-64
2015,Males,65,119165,60-64
2016,Males,65,121072,60-64
2017,Males,65,121197,60-64
2018,Males,65,123315,60-64
2019,Males,65,123462,60-64
2020,Males,65,127800,60-64
2021,Males,65,131383,60-64
1971,Males,66,39973,65-69
1972,Males,66,42712,65-69
1973,Males,66,42597,65-69
1974,Males,66,43876,65-69
1975,Males,66,44428,65-69
1976,Males,66,45655,65-69
1977,Males,66,48194,65-69
1978,Males,66,49576,65-69
1979,Males,66,50134,65-69
1980,Males,66,52903,65-69
1981,Males,66,53056,65-69
1982,Males,66,52194,65-69
1983,Males,66,51744,65-69
1984,Males,66,49864,65-69
1985,Males,66,50124,65-69
1986,Males,66,57121,65-69
1987,Males,66,63187,65-69
1988,Males,66,64046,65-69
1989,Males,66,63537,65-69
1990,Males,66,66028,65-69
1991,Males,66,65760,65-69
1992,Males,66,69208,65-69
1993,Males,66,68259,65-69
1994,Males,66,68627,65-69
1995,Males,66,68686,65-69
1996,Males,66,68222,65-69
1997,Males,66,70210,65-69
1998,Males,66,66834,65-69
1999,Males,66,65805,65-69
2000,Males,66,66779,65-69
2001,Males,66,66947,65-69
2002,Males,66,72374,65-69
2003,Males,66,74417,65-69
2004,Males,66,75307,65-69
2005,Males,66,77921,65-69
2006,Males,66,80127,65-69
2007,Males,66,82198,65-69
2008,Males,66,87365,65-69
2009,Males,66,87896,65-69
2010,Males,66,96786,65-69
2011,Males,66,100885,65-69
2012,Males,66,104706,65-69
2013,Males,66,122793,65-69
2014,Males,66,118072,65-69
2015,Males,66,116025,65-69
2016,Males,66,118211,65-69
2017,Males,66,119973,65-69
2018,Males,66,119937,65-69
2019,Males,66,122388,65-69
2020,Males,66,123702,65-69
2021,Males,66,126164,65-69
1971,Males,67,37817,65-69
1972,Males,67,38521,65-69
1973,Males,67,41180,65-69
1974,Males,67,41324,65-69
1975,Males,67,42654,65-69
1976,Males,67,42977,65-69
1977,Males,67,44131,65-69
1978,Males,67,46747,65-69
1979,Males,67,48090,65-69
1980,Males,67,48696,65-69
1981,Males,67,51492,65-69
1982,Males,67,51612,65-69
1983,Males,67,50831,65-69
1984,Males,67,50518,65-69
1985,Males,67,48711,65-69
1986,Males,67,48974,65-69
1987,Males,67,56075,65-69
1988,Males,67,61666,65-69
1989,Males,67,62427,65-69
1990,Males,67,61914,65-69
1991,Males,67,64647,65-69
1992,Males,67,64098,65-69
1993,Males,67,67452,65-69
1994,Males,67,66684,65-69
1995,Males,67,67098,65-69
1996,Males,67,67320,65-69
1997,Males,67,67208,65-69
1998,Males,67,68912,65-69
1999,Males,67,65737,65-69
2000,Males,67,64668,65-69
2001,Males,67,65849,65-69
2002,Males,67,66035,65-69
2003,Males,67,71067,65-69
2004,Males,67,73025,65-69
2005,Males,67,73966,65-69
2006,Males,67,76527,65-69
2007,Males,67,79472,65-69
2008,Males,67,81484,65-69
2009,Males,67,86596,65-69
2010,Males,67,87187,65-69
2011,Males,67,95977,65-69
2012,Males,67,99573,65-69
2013,Males,67,103546,65-69
2014,Males,67,121527,65-69
2015,Males,67,117013,65-69
2016,Males,67,115074,65-69
2017,Males,67,117082,65-69
2018,Males,67,118563,65-69
2019,Males,67,118920,65-69
2020,Males,67,122531,65-69
2021,Males,67,122030,65-69
1971,Males,68,35139,65-69
1972,Males,68,36405,65-69
1973,Males,68,36959,65-69
1974,Males,68,39556,65-69
1975,Males,68,39882,65-69
1976,Males,68,41389,65-69
1977,Males,68,41484,65-69
1978,Males,68,42660,65-69
1979,Males,68,45198,65-69
1980,Males,68,46547,65-69
1981,Males,68,47216,65-69
1982,Males,68,49981,65-69
1983,Males,68,50027,65-69
1984,Males,68,49456,65-69
1985,Males,68,49162,65-69
1986,Males,68,47588,65-69
1987,Males,68,47842,65-69
1988,Males,68,54888,65-69
1989,Males,68,60099,65-69
1990,Males,68,60661,65-69
1991,Males,68,60093,65-69
1992,Males,68,62944,65-69
1993,Males,68,62335,65-69
1994,Males,68,65549,65-69
1995,Males,68,65070,65-69
1996,Males,68,65509,65-69
1997,Males,68,66178,65-69
1998,Males,68,65994,65-69
1999,Males,68,67587,65-69
2000,Males,68,64584,65-69
2001,Males,68,63541,65-69
2002,Males,68,64726,65-69
2003,Males,68,65018,65-69
2004,Males,68,69660,65-69
2005,Males,68,71520,65-69
2006,Males,68,72528,65-69
2007,Males,68,75703,65-69
2008,Males,68,78603,65-69
2009,Males,68,80620,65-69
2010,Males,68,85844,65-69
2011,Males,68,86379,65-69
2012,Males,68,94608,65-69
2013,Males,68,98157,65-69
2014,Males,68,102242,65-69
2015,Males,68,120141,65-69
2016,Males,68,116015,65-69
2017,Males,68,113879,65-69
2018,Males,68,115855,65-69
2019,Males,68,117428,65-69
2020,Males,68,118841,65-69
2021,Males,68,120875,65-69
1971,Males,69,32515,65-69
1972,Males,69,33582,65-69
1973,Males,69,34878,65-69
1974,Males,69,35366,65-69
1975,Males,69,37813,65-69
1976,Males,69,38454,65-69
1977,Males,69,39483,65-69
1978,Males,69,39969,65-69
1979,Males,69,41022,65-69
1980,Males,69,43619,65-69
1981,Males,69,44931,65-69
1982,Males,69,45828,65-69
1983,Males,69,48312,65-69
1984,Males,69,48376,65-69
1985,Males,69,47958,65-69
1986,Males,69,47809,65-69
1987,Males,69,46234,65-69
1988,Males,69,46652,65-69
1989,Males,69,53625,65-69
1990,Males,69,58249,65-69
1991,Males,69,58680,65-69
1992,Males,69,58583,65-69
1993,Males,69,61083,65-69
1994,Males,69,60558,65-69
1995,Males,69,63655,65-69
1996,Males,69,63425,65-69
1997,Males,69,64214,65-69
1998,Males,69,64931,65-69
1999,Males,69,64862,65-69
2000,Males,69,66154,65-69
2001,Males,69,63428,65-69
2002,Males,69,62593,65-69
2003,Males,69,63563,65-69
2004,Males,69,63889,65-69
2005,Males,69,68182,65-69
2006,Males,69,69994,65-69
2007,Males,69,71638,65-69
2008,Males,69,74795,65-69
2009,Males,69,77754,65-69
2010,Males,69,79746,65-69
2011,Males,69,85095,65-69
2012,Males,69,84941,65-69
2013,Males,69,93187,65-69
2014,Males,69,96591,65-69
2015,Males,69,100887,65-69
2016,Males,69,118738,65-69
2017,Males,69,114560,65-69
2018,Males,69,112483,65-69
2019,Males,69,114711,65-69
2020,Males,69,117049,65-69
2021,Males,69,117085,65-69
1971,Males,70,31548,65-69
1972,Males,70,30905,65-69
1973,Males,70,32004,65-69
1974,Males,70,33373,65-69
1975,Males,70,33703,65-69
1976,Males,70,35969,65-69
1977,Males,70,36592,65-69
1978,Males,70,37611,65-69
1979,Males,70,38369,65-69
1980,Males,70,39428,65-69
1981,Males,70,42029,65-69
1982,Males,70,43204,65-69
1983,Males,70,44303,65-69
1984,Males,70,46672,65-69
1985,Males,70,46646,65-69
1986,Males,70,46389,65-69
1987,Males,70,46222,65-69
1988,Males,70,44751,65-69
1989,Males,70,45423,65-69
1990,Males,70,52177,65-69
1991,Males,70,56313,65-69
1992,Males,70,56934,65-69
1993,Males,70,57009,65-69
1994,Males,70,59168,65-69
1995,Males,70,58691,65-69
1996,Males,70,61712,65-69
1997,Males,70,61927,65-69
1998,Males,70,62923,65-69
1999,Males,70,63584,65-69
2000,Males,70,63504,65-69
2001,Males,70,64790,65-69
2002,Males,70,62096,65-69
2003,Males,70,61431,65-69
2004,Males,70,62166,65-69
2005,Males,70,62759,65-69
2006,Males,70,66595,65-69
2007,Males,70,69013,65-69
2008,Males,70,70629,65-69
2009,Males,70,73751,65-69
2010,Males,70,76802,65-69
2011,Males,70,78811,65-69
2012,Males,70,83577,65-69
2013,Males,70,83527,65-69
2014,Males,70,91673,65-69
2015,Males,70,95053,65-69
2016,Males,70,99537,65-69
2017,Males,70,117102,65-69
2018,Males,70,113032,65-69
2019,Males,70,111130,65-69
2020,Males,70,114318,65-69
2021,Males,70,115174,65-69
1971,Males,71,29271,70-74
1972,Males,71,30088,70-74
1973,Males,71,29372,70-74
1974,Males,71,30478,70-74
1975,Males,71,31846,70-74
1976,Males,71,31997,70-74
1977,Males,71,34228,70-74
1978,Males,71,34746,70-74
1979,Males,71,35798,70-74
1980,Males,71,36855,70-74
1981,Males,71,37817,70-74
1982,Males,71,40469,70-74
1983,Males,71,41391,70-74
1984,Males,71,42747,70-74
1985,Males,71,44905,70-74
1986,Males,71,44908,70-74
1987,Males,71,44838,70-74
1988,Males,71,44498,70-74
1989,Males,71,43323,70-74
1990,Males,71,44030,70-74
1991,Males,71,50681,70-74
1992,Males,71,54418,70-74
1993,Males,71,55064,70-74
1994,Males,71,55337,70-74
1995,Males,71,57181,70-74
1996,Males,71,56744,70-74
1997,Males,71,60229,70-74
1998,Males,71,60336,70-74
1999,Males,71,61544,70-74
2000,Males,71,62233,70-74
2001,Males,71,62165,70-74
2002,Males,71,63177,70-74
2003,Males,71,60579,70-74
2004,Males,71,60125,70-74
2005,Males,71,60801,70-74
2006,Males,71,61503,70-74
2007,Males,71,65282,70-74
2008,Males,71,67861,70-74
2009,Males,71,69537,70-74
2010,Males,71,72695,70-74
2011,Males,71,75721,70-74
2012,Males,71,77260,70-74
2013,Males,71,82117,70-74
2014,Males,71,81948,70-74
2015,Males,71,90028,70-74
2016,Males,71,93455,70-74
2017,Males,71,97913,70-74
2018,Males,71,115260,70-74
2019,Males,71,111556,70-74
2020,Males,71,110522,70-74
2021,Males,71,112412,70-74
1971,Males,72,24229,70-74
1972,Males,72,27790,70-74
1973,Males,72,28442,70-74
1974,Males,72,27699,70-74
1975,Males,72,28779,70-74
1976,Males,72,30280,70-74
1977,Males,72,30431,70-74
1978,Males,72,32531,70-74
1979,Males,72,32885,70-74
1980,Males,72,33902,70-74
1981,Males,72,35216,70-74
1982,Males,72,36326,70-74
1983,Males,72,38694,70-74
1984,Males,72,39490,70-74
1985,Males,72,41051,70-74
1986,Males,72,43145,70-74
1987,Males,72,43226,70-74
1988,Males,72,42992,70-74
1989,Males,72,42744,70-74
1990,Males,72,41655,70-74
1991,Males,72,42612,70-74
1992,Males,72,48892,70-74
1993,Males,72,52445,70-74
1994,Males,72,53209,70-74
1995,Males,72,53590,70-74
1996,Males,72,55158,70-74
1997,Males,72,55361,70-74
1998,Males,72,58590,70-74
1999,Males,72,58641,70-74
2000,Males,72,60027,70-74
2001,Males,72,60903,70-74
2002,Males,72,60658,70-74
2003,Males,72,61351,70-74
2004,Males,72,58881,70-74
2005,Males,72,58831,70-74
2006,Males,72,59361,70-74
2007,Males,72,60296,70-74
2008,Males,72,63953,70-74
2009,Males,72,66576,70-74
2010,Males,72,68395,70-74
2011,Males,72,71654,70-74
2012,Males,72,74026,70-74
2013,Males,72,75716,70-74
2014,Males,72,80532,70-74
2015,Males,72,80260,70-74
2016,Males,72,88338,70-74
2017,Males,72,91780,70-74
2018,Males,72,96058,70-74
2019,Males,72,113417,70-74
2020,Males,72,110587,70-74
2021,Males,72,108515,70-74
1971,Males,73,21891,70-74
1972,Males,73,22605,70-74
1973,Males,73,26227,70-74
1974,Males,73,26806,70-74
1975,Males,73,25950,70-74
1976,Males,73,27111,70-74
1977,Males,73,28336,70-74
1978,Males,73,28863,70-74
1979,Males,73,30734,70-74
1980,Males,73,30992,70-74
1981,Males,73,31911,70-74
1982,Males,73,33288,70-74
1983,Males,73,34742,70-74
1984,Males,73,36889,70-74
1985,Males,73,37534,70-74
1986,Males,73,39349,70-74
1987,Males,73,41198,70-74
1988,Males,73,41337,70-74
1989,Males,73,41216,70-74
1990,Males,73,40812,70-74
1991,Males,73,39967,70-74
1992,Males,73,40671,70-74
1993,Males,73,46993,70-74
1994,Males,73,50422,70-74
1995,Males,73,51207,70-74
1996,Males,73,51820,70-74
1997,Males,73,53145,70-74
1998,Males,73,53845,70-74
1999,Males,73,56871,70-74
2000,Males,73,56875,70-74
2001,Males,73,58557,70-74
2002,Males,73,58957,70-74
2003,Males,73,59004,70-74
2004,Males,73,59372,70-74
2005,Males,73,57212,70-74
2006,Males,73,57421,70-74
2007,Males,73,57897,70-74
2008,Males,73,58861,70-74
2009,Males,73,62401,70-74
2010,Males,73,65288,70-74
2011,Males,73,67211,70-74
2012,Males,73,69763,70-74
2013,Males,73,72253,70-74
2014,Males,73,74006,70-74
2015,Males,73,78795,70-74
2016,Males,73,78540,70-74
2017,Males,73,86436,70-74
2018,Males,73,90000,70-74
2019,Males,73,94196,70-74
2020,Males,73,112034,70-74
2021,Males,73,108547,70-74
1971,Males,74,20106,70-74
1972,Males,74,20487,70-74
1973,Males,74,20927,70-74
1974,Males,74,24758,70-74
1975,Males,74,25108,70-74
1976,Males,74,24223,70-74
1977,Males,74,25242,70-74
1978,Males,74,26406,70-74
1979,Males,74,27223,70-74
1980,Males,74,28933,70-74
1981,Males,74,29056,70-74
1982,Males,74,30239,70-74
1983,Males,74,31375,70-74
1984,Males,74,33161,70-74
1985,Males,74,35005,70-74
1986,Males,74,35553,70-74
1987,Males,74,37417,70-74
1988,Males,74,39093,70-74
1989,Males,74,39495,70-74
1990,Males,74,39214,70-74
1991,Males,74,38921,70-74
1992,Males,74,38127,70-74
1993,Males,74,38637,70-74
1994,Males,74,44954,70-74
1995,Males,74,48338,70-74
1996,Males,74,49316,70-74
1997,Males,74,49829,70-74
1998,Males,74,51017,70-74
1999,Males,74,52174,70-74
2000,Males,74,55046,70-74
2001,Males,74,55086,70-74
2002,Males,74,56534,70-74
2003,Males,74,56839,70-74
2004,Males,74,57196,70-74
2005,Males,74,57436,70-74
2006,Males,74,55463,70-74
2007,Males,74,55823,70-74
2008,Males,74,56359,70-74
2009,Males,74,57377,70-74
2010,Males,74,60850,70-74
2011,Males,74,63899,70-74
2012,Males,74,65397,70-74
2013,Males,74,67848,70-74
2014,Males,74,70375,70-74
2015,Males,74,72136,70-74
2016,Males,74,76971,70-74
2017,Males,74,76662,70-74
2018,Males,74,84360,70-74
2019,Males,74,88091,70-74
2020,Males,74,92861,70-74
2021,Males,74,110044,70-74
1971,Males,75,18434,70-74
1972,Males,75,18557,70-74
1973,Males,75,18981,70-74
1974,Males,75,19360,70-74
1975,Males,75,23213,70-74
1976,Males,75,23474,70-74
1977,Males,75,22525,70-74
1978,Males,75,23489,70-74
1979,Males,75,24430,70-74
1980,Males,75,25656,70-74
1981,Males,75,27092,70-74
1982,Males,75,27435,70-74
1983,Males,75,28367,70-74
1984,Males,75,29391,70-74
1985,Males,75,31552,70-74
1986,Males,75,33180,70-74
1987,Males,75,33589,70-74
1988,Males,75,35234,70-74
1989,Males,75,36980,70-74
1990,Males,75,37463,70-74
1991,Males,75,37348,70-74
1992,Males,75,36934,70-74
1993,Males,75,36254,70-74
1994,Males,75,36564,70-74
1995,Males,75,42938,70-74
1996,Males,75,46360,70-74
1997,Males,75,47202,70-74
1998,Males,75,47732,70-74
1999,Males,75,48824,70-74
2000,Males,75,50466,70-74
2001,Males,75,53245,70-74
2002,Males,75,52999,70-74
2003,Males,75,54416,70-74
2004,Males,75,54593,70-74
2005,Males,75,55316,70-74
2006,Males,75,55300,70-74
2007,Males,75,53748,70-74
2008,Males,75,53963,70-74
2009,Males,75,54671,70-74
2010,Males,75,55798,70-74
2011,Males,75,59213,70-74
2012,Males,75,61995,70-74
2013,Males,75,63455,70-74
2014,Males,75,65890,70-74
2015,Males,75,68351,70-74
2016,Males,75,70234,70-74
2017,Males,75,74930,70-74
2018,Males,75,74719,70-74
2019,Males,75,82322,70-74
2020,Males,75,86513,70-74
2021,Males,75,90615,70-74
1971,Males,76,17190,75-79
1972,Males,76,16884,75-79
1973,Males,76,17007,75-79
1974,Males,76,17585,75-79
1975,Males,76,17678,75-79
1976,Males,76,21724,75-79
1977,Males,76,21599,75-79
1978,Males,76,20919,75-79
1979,Males,76,21714,75-79
1980,Males,76,22550,75-79
1981,Males,76,24040,75-79
1982,Males,76,25273,75-79
1983,Males,76,25802,75-79
1984,Males,76,26675,75-79
1985,Males,76,27443,75-79
1986,Males,76,29905,75-79
1987,Males,76,31054,75-79
1988,Males,76,31450,75-79
1989,Males,76,33050,75-79
1990,Males,76,34696,75-79
1991,Males,76,35469,75-79
1992,Males,76,35167,75-79
1993,Males,76,34971,75-79
1994,Males,76,34333,75-79
1995,Males,76,34449,75-79
1996,Males,76,40921,75-79
1997,Males,76,44143,75-79
1998,Males,76,45035,75-79
1999,Males,76,45579,75-79
2000,Males,76,46504,75-79
2001,Males,76,48840,75-79
2002,Males,76,50945,75-79
2003,Males,76,50859,75-79
2004,Males,76,52140,75-79
2005,Males,76,52283,75-79
2006,Males,76,53391,75-79
2007,Males,76,53430,75-79
2008,Males,76,51848,75-79
2009,Males,76,52124,75-79
2010,Males,76,52936,75-79
2011,Males,76,54156,75-79
2012,Males,76,57402,75-79
2013,Males,76,59985,75-79
2014,Males,76,61387,75-79
2015,Males,76,63753,75-79
2016,Males,76,66271,75-79
2017,Males,76,68158,75-79
2018,Males,76,72808,75-79
2019,Males,76,72657,75-79
2020,Males,76,80511,75-79
2021,Males,76,84391,75-79
1971,Males,77,15083,75-79
1972,Males,77,15550,75-79
1973,Males,77,15465,75-79
1974,Males,77,15549,75-79
1975,Males,77,16153,75-79
1976,Males,77,16122,75-79
1977,Males,77,19806,75-79
1978,Males,77,19808,75-79
1979,Males,77,19324,75-79
1980,Males,77,19997,75-79
1981,Males,77,20691,75-79
1982,Males,77,22265,75-79
1983,Males,77,23422,75-79
1984,Males,77,24184,75-79
1985,Males,77,24933,75-79
1986,Males,77,25519,75-79
1987,Males,77,27875,75-79
1988,Males,77,28825,75-79
1989,Males,77,29402,75-79
1990,Males,77,30785,75-79
1991,Males,77,32449,75-79
1992,Males,77,33132,75-79
1993,Males,77,32967,75-79
1994,Males,77,32867,75-79
1995,Males,77,32362,75-79
1996,Males,77,32303,75-79
1997,Males,77,38649,75-79
1998,Males,77,41915,75-79
1999,Males,77,42860,75-79
2000,Males,77,43355,75-79
2001,Males,77,44271,75-79
2002,Males,77,46570,75-79
2003,Males,77,48508,75-79
2004,Males,77,48600,75-79
2005,Males,77,49892,75-79
2006,Males,77,49878,75-79
2007,Males,77,51252,75-79
2008,Males,77,51271,75-79
2009,Males,77,49870,75-79
2010,Males,77,50226,75-79
2011,Males,77,51134,75-79
2012,Males,77,52187,75-79
2013,Males,77,55497,75-79
2014,Males,77,57927,75-79
2015,Males,77,59195,75-79
2016,Males,77,61539,75-79
2017,Males,77,64202,75-79
2018,Males,77,66041,75-79
2019,Males,77,70649,75-79
2020,Males,77,70772,75-79
2021,Males,77,78261,75-79
1971,Males,78,14396,75-79
1972,Males,78,13738,75-79
1973,Males,78,13935,75-79
1974,Males,78,14032,75-79
1975,Males,78,14092,75-79
1976,Males,78,14766,75-79
1977,Males,78,14666,75-79
1978,Males,78,17965,75-79
1979,Males,78,18124,75-79
1980,Males,78,17724,75-79
1981,Males,78,18259,75-79
1982,Males,78,19125,75-79
1983,Males,78,20380,75-79
1984,Males,78,21685,75-79
1985,Males,78,22512,75-79
1986,Males,78,23252,75-79
1987,Males,78,23751,75-79
1988,Males,78,25793,75-79
1989,Males,78,26702,75-79
1990,Males,78,27207,75-79
1991,Males,78,28608,75-79
1992,Males,78,30219,75-79
1993,Males,78,30827,75-79
1994,Males,78,30668,75-79
1995,Males,78,30752,75-79
1996,Males,78,30420,75-79
1997,Males,78,30495,75-79
1998,Males,78,36327,75-79
1999,Males,78,39602,75-79
2000,Males,78,40591,75-79
2001,Males,78,41197,75-79
2002,Males,78,41985,75-79
2003,Males,78,44196,75-79
2004,Males,78,46016,75-79
2005,Males,78,46252,75-79
2006,Males,78,47535,75-79
2007,Males,78,47708,75-79
2008,Males,78,49041,75-79
2009,Males,78,49145,75-79
2010,Males,78,47819,75-79
2011,Males,78,48253,75-79
2012,Males,78,49054,75-79
2013,Males,78,50228,75-79
2014,Males,78,53365,75-79
2015,Males,78,55630,75-79
2016,Males,78,56835,75-79
2017,Males,78,59416,75-79
2018,Males,78,62032,75-79
2019,Males,78,63809,75-79
2020,Males,78,68669,75-79
2021,Males,78,68486,75-79
1971,Males,79,12722,75-79
1972,Males,79,12927,75-79
1973,Males,79,12328,75-79
1974,Males,79,12361,75-79
1975,Males,79,12624,75-79
1976,Males,79,12686,75-79
1977,Males,79,13214,75-79
1978,Males,79,13307,75-79
1979,Males,79,16143,75-79
1980,Males,79,16443,75-79
1981,Males,79,16109,75-79
1982,Males,79,16706,75-79
1983,Males,79,17484,75-79
1984,Males,79,18605,75-79
1985,Males,79,19890,75-79
1986,Males,79,20886,75-79
1987,Males,79,21401,75-79
1988,Males,79,21877,75-79
1989,Males,79,23663,75-79
1990,Males,79,24386,75-79
1991,Males,79,25119,75-79
1992,Males,79,26493,75-79
1993,Males,79,28026,75-79
1994,Males,79,28440,75-79
1995,Males,79,28391,75-79
1996,Males,79,28707,75-79
1997,Males,79,28542,75-79
1998,Males,79,28600,75-79
1999,Males,79,34065,75-79
2000,Males,79,37275,75-79
2001,Males,79,38268,75-79
2002,Males,79,38805,75-79
2003,Males,79,39617,75-79
2004,Males,79,41668,75-79
2005,Males,79,43469,75-79
2006,Males,79,43891,75-79
2007,Males,79,45201,75-79
2008,Males,79,45416,75-79
2009,Males,79,46729,75-79
2010,Males,79,46984,75-79
2011,Males,79,45655,75-79
2012,Males,79,46092,75-79
2013,Males,79,47004,75-79
2014,Males,79,48131,75-79
2015,Males,79,51157,75-79
2016,Males,79,53276,75-79
2017,Males,79,54700,75-79
2018,Males,79,57204,75-79
2019,Males,79,59699,75-79
2020,Males,79,61642,75-79
2021,Males,79,66089,75-79
1971,Males,80,11529,75-79
1972,Males,80,11448,75-79
1973,Males,80,11493,75-79
1974,Males,80,10994,75-79
1975,Males,80,10859,75-79
1976,Males,80,11341,75-79
1977,Males,80,11346,75-79
1978,Males,80,11815,75-79
1979,Males,80,11965,75-79
1980,Males,80,14486,75-79
1981,Males,80,14802,75-79
1982,Males,80,14599,75-79
1983,Males,80,15205,75-79
1984,Males,80,16002,75-79
1985,Males,80,16812,75-79
1986,Males,80,18136,75-79
1987,Males,80,19058,75-79
1988,Males,80,19457,75-79
1989,Males,80,20103,75-79
1990,Males,80,21499,75-79
1991,Males,80,22228,75-79
1992,Males,80,23114,75-79
1993,Males,80,24460,75-79
1994,Males,80,25808,75-79
1995,Males,80,26040,75-79
1996,Males,80,26054,75-79
1997,Males,80,26680,75-79
1998,Males,80,26612,75-79
1999,Males,80,26803,75-79
2000,Males,80,31756,75-79
2001,Males,80,35011,75-79
2002,Males,80,35837,75-79
2003,Males,80,36345,75-79
2004,Males,80,37268,75-79
2005,Males,80,39152,75-79
2006,Males,80,40820,75-79
2007,Males,80,41546,75-79
2008,Males,80,42589,75-79
2009,Males,80,43031,75-79
2010,Males,80,44405,75-79
2011,Males,80,44694,75-79
2012,Males,80,43406,75-79
2013,Males,80,43858,75-79
2014,Males,80,44905,75-79
2015,Males,80,45866,75-79
2016,Males,80,48897,75-79
2017,Males,80,50870,75-79
2018,Males,80,52498,75-79
2019,Males,80,54788,75-79
2020,Males,80,57516,75-79
2021,Males,80,59101,75-79
1971,Males,81,10064,80-84
1972,Males,81,10273,80-84
1973,Males,81,10158,80-84
1974,Males,81,10180,80-84
1975,Males,81,9783,80-84
1976,Males,81,9545,80-84
1977,Males,81,10083,80-84
1978,Males,81,10147,80-84
1979,Males,81,10494,80-84
1980,Males,81,10779,80-84
1981,Males,81,12752,80-84
1982,Males,81,13351,80-84
1983,Males,81,13114,80-84
1984,Males,81,13821,80-84
1985,Males,81,14494,80-84
1986,Males,81,15100,80-84
